date,max_temp_F,avg_temp_F,min_temp_F
2021-01-04,42.78571429,38.4,35
2021-01-18,41.5,37.27857143,32.5
2021-02-01,35.28571429,31.30714286,26.78571429
2021-02-15,39.07142857,34.59285714,30.5
2021-03-01,47.21428571,40.51428571,33.35714286
2021-03-15,52,44.81428571,37.5
2021-03-29,62.21428571,52.47857143,45.35714286
2021-04-12,59.85714286,52.94285714,46.64285714
2021-04-26,67.64285714,58.41428571,50.42857143
2021-05-10,71.07142857,63.05,55.42857143
2021-05-24,73.14285714,65.60714286,59
2021-06-07,87.64285714,74.25,67.57142857
2021-06-21,86.71428571,77.75,69.71428571
2021-07-05,83.28571429,75.49285714,69.85714286
2021-07-19,85.5,79.00714286,72.85714286
2021-08-02,82.85714286,76.15714286,70.28571429
2021-08-16,85.14285714,80.61428571,75.64285714
2021-08-30,81.42857143,74.67857143,69.14285714
2021-09-13,80.14285714,74.27142857,68.78571429
2021-09-27,73.5,67.52142857,61.35714286
2021-10-11,72.35714286,66.27142857,61.28571429
2021-10-25,61.71428571,57.25,52.5
2021-11-08,59.42857143,53.08571429,46.14285714
2021-11-22,49,44.32142857,38.78571429
2021-12-06,52,46.89285714,41.92857143
2021-12-20,46.21428571,41.55,36.85714286
2021-12-31,54,51,48